F	-79.9	-179.9	443247.87180793309	1128161.372131607	1	C
F	-79.9	-150	441292.55274103343	1128062.1706506645	6	C
F	-79.9	-122.4194	511366.53937070962	1129518.9783618937	10	C
F	-79.9	-74.006	519459.16244142165	1129409.4941475028	18	C
F	-79.9	-43.1729	535764.44088820054	1129014.2190812381	23	C
F	-79.9	-0.1275	556214.38676239189	1128188.0634185567	30	C
F	-79.9	0	441292.55274103355	1128062.1706506645	31	C
F	-79.9	0.001	441312.10511006176	1128063.1792989459	31	C
F	-79.9	2.3522	487317.9206970876	1129505.0940302867	31	C
F	-79.9	4.5	529363.16755438119	1129197.2476386789	31	C
F	-79.9	5.9	556752.1281920668	1128161.372131607	31	C
F	-79.9	6.1	443247.87180793314	1128161.372131607	32	C
F	-79.9	9	500000	1129575.6771442611	32	C
F	-79.9	10.7522	534298.75425023399	1129059.3054233054	32	C
F	-79.9	15	500000	1129575.6771442611	33	C
F	-79.9	21	500000	1129575.6771442611	34	C
F	-79.9	31.1	462809.0646998969	1128968.5251205771	36	C
F	-79.9	37.6173	472932.59603112243	1129254.1175752422	37	C
F	-79.9	77.5946	550779.60289828118	1128443.529670621	43	C
F	-79.9	139.6917	474388.78828024707	1129287.790183444	54	C
F	-79.9	174.78	456548.05824589467	1128746.8111161119	60	C
F	-79.9	179.9	556752.12819206691	1128161.372131607	60	C
F	-72.5	-179.9	402700.27905482275	1952946.2421881272	1	C
F	-72.5	-150	399347.58721412311	1952781.4651828485	6	C
F	-72.5	-122.4194	519486.61782888795	1955201.0943363947	10	C
F	-72.5	-74.006	533360.61622365052	1955019.2639585955	18	C
F	-72.5	-43.1729	561315.11473303486	1954362.776835449	23	C
F	-72.5	-0.1275	596377.68774402922	1952990.577014246	30	C
F	-72.5	0	399347.58721412328	1952781.4651828485	31	C
F	-72.5	0.001	399381.11290246993	1952783.1405905497	31	C
F	-72.5	2.3522	478258.03014998295	1955178.035485219	31	C
F	-72.5	4.5	550340.34007184673	1954666.7607714112	31	C
F	-72.5	5.9	597299.72094517713	1952946.2421881272	31	C
F	-72.5	6.1	402700.27905482287	1952946.2421881272	32	C
F	-72.5	9	500000	1955295.2583069182	32	C
F	-72.5	10.7522	558802.22322241182	1954437.6592808624	32	C
F	-72.5	15	499999.99999999994	1955295.2583069182	33	C
F	-72.5	21	500000	1955295.2583069182	34	C
F	-72.5	31.1	436239.17607444193	1954286.8848434293	36	C
F	-72.5	37.6173	453595.62191675598	1954761.2122772492	37	C
F	-72.5	77.5946	587059.13170174486	1953414.905716341	43	C
F	-72.5	139.6917	456092.17229103745	1954817.1366050637	54	C
F	-72.5	174.78	425504.59650800354	1953918.6401013308	60	C
F	-72.5	179.9	597299.72094517725	1952946.2421881272	60	C
F	-60	-179.9	338279.24910909217	3345043.2793337596	1	E
F	-60	-150	332705.17887693964	3344794.5156427682	6	E
F	-60	-122.4194	532384.24502880964	3348446.7088103062	10	E
F	-60	-74.006	555441.62597792945	3348172.3072728249	18	E
F	-60	-43.1729	601902.77090093109	3347181.5253038644	23	E
F	-60	-0.1275	660187.83796735329	3345110.2103581829	30	E
F	-60	0	332705.17887693993	3344794.5156427682	31	E
F	-60	0.001	332760.9183300935	3344797.0450402033	31	E
F	-60	2.3522	463867.60247363127	3348411.9110136679	31	E
F	-60	4.5	583661.7468818943	3347640.3173496989	31	E
F	-60	5.9	661720.75089090772	3345043.2793337596	31	E
F	-60	6.1	338279.24910909228	3345043.2793337596	32	E
F	-60	9	500000	3348588.8089148407	32	E
F	-60	10.7522	597726.04125651612	3347294.5449516242	32	E
F	-60	15	499999.99999999994	3348588.8089148407	33	E
F	-60	21	500000.00000000006	3348588.8089148407	34	E
F	-60	31.1	394032.11120823672	3347066.9804457268	36	E
F	-60	37.6173	422879.94006862765	3347782.8646601294	37	E
F	-60	77.5946	644696.04947693541	3345750.7811203464	43	E
F	-60	139.6917	427029.22765027976	3347867.2651977483	54	E
F	-60	174.78	376189.0311915538	3346511.1618965818	60	E
F	-60	179.9	661720.75089090783	3345043.2793337596	60	E
F	-45.3	-179.9	272632.42466649855	4979630.7968228338	1	G
F	-45.3	-150	264792.23131477175	4979343.6134656379	6	G
F	-45.3	-122.4194	545520.72882555029	4983558.5818584254	10	G
F	-45.3	-74.006	577932.46842649532	4983241.9924325738	18	G
F	-45.3	-43.1729	643249.75830086449	4982098.753729118	23	G
F	-45.3	-0.1275	725211.52091912681	4979708.0626631416	30	G
F	-45.3	0	264792.23131477216	4979343.6134656379	31	G
F	-45.3	0.001	264870.63321256201	4979346.5335733965	31	G
F	-45.3	2.3522	449210.59759115556	4983518.4349286342	31	G
F	-45.3	4.5	617604.26100290311	4982628.1675688233	31	G
F	-45.3	5.9	727367.57533350121	4979630.7968228338	31	G
F	-45.3	6.1	272632.42466649873	4979630.7968228338	32	G
F	-45.3	9	500000	4983722.5230716597	32	G
F	-45.3	10.7522	637377.40553514264	4982229.1744931517	32	G
F	-45.3	15	499999.99999999988	4983722.5230716597	33	G
F	-45.3	21	500000.00000000006	4983722.5230716597	34	G
F	-45.3	31.1	351034.69627561857	4981966.5702448534	36	G
F	-45.3	37.6173	391592.3754285404	4982792.6483529508	37	G
F	-45.3	77.5946	703423.5826816397	4980447.4973075222	43	G
F	-45.3	139.6917	397425.53830312239	4982890.0334656145	54	G
